id,key,value,type
27776980,source,PGS,regular
27776980,created_by,Almien_Coastlines,regular
27776989,source,PGS,regular
27776989,created_by,Almien_Coastlines,regular
27776998,source,PGS,regular
27776998,created_by,Almien_Coastlines,regular
27777006,source,PGS,regular
27777006,created_by,Almien_Coastlines,regular
27777016,source,PGS,regular
27777016,created_by,Almien_Coastlines,regular
27777025,source,PGS,regular
27777025,created_by,Almien_Coastlines,regular
27777036,source,PGS,regular
27777036,created_by,Almien_Coastlines,regular
27777043,source,PGS,regular
27777043,created_by,Almien_Coastlines,regular
27777055,source,PGS,regular
27777055,created_by,Almien_Coastlines,regular
27777069,source,PGS,regular
27777069,created_by,Almien_Coastlines,regular
27777078,source,PGS,regular
27777078,created_by,Almien_Coastlines,regular
27777090,source,PGS,regular
27777090,created_by,Almien_Coastlines,regular
27777105,source,PGS,regular
27777105,created_by,Almien_Coastlines,regular
27777117,source,PGS,regular
27777117,created_by,Almien_Coastlines,regular
27777130,source,PGS,regular
27777130,created_by,Almien_Coastlines,regular
27777140,source,PGS,regular
27777140,created_by,Almien_Coastlines,regular
27777153,source,PGS,regular
27777153,created_by,Almien_Coastlines,regular
27777177,source,PGS,regular
27777177,created_by,Almien_Coastlines,regular
27777190,source,PGS,regular
27777190,created_by,Almien_Coastlines,regular
27777198,source,PGS,regular
27777198,created_by,Almien_Coastlines,regular
27777209,source,PGS,regular
27777209,created_by,Almien_Coastlines,regular
27777221,source,PGS,regular
27777221,created_by,Almien_Coastlines,regular
27777236,source,PGS,regular
27777236,created_by,Almien_Coastlines,regular
27777246,source,PGS,regular
27777246,created_by,Almien_Coastlines,regular
27777257,source,PGS,regular
27777257,created_by,Almien_Coastlines,regular
27777267,source,PGS,regular
27777267,created_by,Almien_Coastlines,regular
27777284,source,PGS,regular
27777284,created_by,Almien_Coastlines,regular
27777293,source,PGS,regular
27777293,created_by,Almien_Coastlines,regular
27777302,source,PGS,regular
27777302,created_by,Almien_Coastlines,regular
27777311,source,PGS,regular
27777311,created_by,Almien_Coastlines,regular
27777322,source,PGS,regular
27777322,created_by,Almien_Coastlines,regular
27777332,source,PGS,regular
27777332,created_by,Almien_Coastlines,regular
27777344,source,PGS,regular
27777344,created_by,Almien_Coastlines,regular
27777356,source,PGS,regular
27777356,created_by,Almien_Coastlines,regular
27777417,source,PGS,regular
27777422,source,PGS,regular
27777434,source,PGS,regular
27777448,source,PGS,regular
27777455,source,PGS,regular
27777465,source,PGS,regular
27777478,source,PGS,regular
27777484,source,PGS,regular
27777491,source,PGS,regular
27777503,source,PGS,regular
27777508,source,PGS,regular
27777518,source,PGS,regular
27777523,source,PGS,regular
27777524,source,PGS,regular
27777525,source,PGS,regular
27777526,source,PGS,regular
27777527,source,PGS,regular
27777528,source,PGS,regular
